"ID";"Logotipo";"Nombre";"Direcciones";"Productos";"Activado";
"46";"";"Gordon's";"";"";"0";
"19";"";"Gran Duque de Alba";"";"";"0";
"47";"";"Gran Patrón ";"";"";"1";
"117";"";"Gran Vandush";"";"";"0";
"355";"";"GREEN SMOOKE";"";"";"0";
"79";"";"Grey Goose";"";"";"0";
"288";"";"GUAYASAMIN";"";"";"0";
"238";"";"GUYLIAN";"";"";"0";
"376";"";"HACIENDA LA PAZ";"";"";"0";
"94";"";"HAIKU";"";"";"0";
"129";"";"Halls";"";"";"0";
"2";"";"Heineken";"";"";"1";
"194";"";"HELIOS";"";"";"0";
"227";"";"HENKELL";"";"";"0";
"14";"";"Hennessy";"";"";"1";
"137";"";"Hersheys";"";"";"0";
"134";"";"Hielo";"";"";"0";
"122";"";"Hpnotiq";"";"";"0";
"232";"";"ICEBREAKER";"";"";"0";
"322";"";"ICELAND";"";"";"0";
"103";"";"Iceland Vodka";"";"";"0";
"315";"";"IMPERIAL";"";"";"0";
"337";"";"IMPERIAL LIMONADA";"";"";"0";
"211";"";"IMPORZETA";"";"";"0";
"123";"";"Inalecsa";"";"";"0";
"55";"";"Isla Negra";"";"";"0";
"7";"";"Jack Daniels";"";"";"0";
"90";"";"Jägermeister	";"";"";"0";
"183";"";"JAGERMEISTER";"";"";"0";
"221";"";"JAMES ALEXANDER";"";"";"0";
"269";"";"JHON BARR";"";"";"0";
"377";"";"JOHNNIE DOUBLE BLACK";"";"";"0";
"15";"";"Johnnie Walker";"";"";"1";
"294";"";"JOHNNIE WALKER BLACK";"";"";"0";
"378";"";"JOHNNIE WALKER GOLD RESER";"";"";"0";
"373";"";"JOHNNIE WALKER GREEN";"";"";"0";
"293";"";"JOHNNIE WALKER RED L";"";"";"0";
"352";"";"JOHNNIE WALKER RESER";"";"";"0";
"48";"";"José Cuervo Tequila";"";"";"1";
"241";"";"JUMBIE";"";"";"0";
"243";"";"KAIKEN";"";"";"0";
"140";"";"Karnal";"";"";"1";
"188";"";"KENDALL JAKSON";"";"";"0";
"346";"";"KKO";"";"";"0";
"359";"";"Klik";"";"";"1";
"349";"";"KLIK";"";"";"1";
"185";"";"KRAFT";"";"";"0";
"276";"";"KRUG";"";"";"0";
"321";"";"KRUTERMAISTER";"";"";"0";
"136";"";"Krutermeister";"";"";"0";
"333";"";"KUNSTMANN";"";"";"0";
"160";"";"KUYPER";"";"";"0";
"339";"";"L&M";"";"";"0";
"62";"";"La Chamiza";"";"";"0";
"325";"";"LA COSTEÑA";"";"";"0";
"375";"";"LA GITANA";"";"";"0";
"257";"";"LA PALMA";"";"";"0";
"237";"";"LA SELECTA";"";"";"0";
"135";"";"La Taberna Productos";"";"";"0";
"152";"";"La Toscana";"";"";"0";
"312";"";"LA VIÑA";"";"";"0";
"270";"";"LAN";"";"";"0";
"217";"";"LAPOSTOLLE";"";"";"0";
"224";"";"LARK";"";"";"0";
"366";"";"LAS MORAS";"";"";"0";
"317";"";"LAS ROCAS";"";"";"0";
"330";"";"LATITUD CERO";"";"";"0";
"369";"";"LATITUD CERO BARRIL";"";"";"0";
"161";"";"LAURENT PERRIER";"";"";"0";
"226";"";"LIDER";"";"";"0";
"68";"";"Lindemans";"";"";"0";
"202";"";"LOS CARDOS";"";"";"0";
"64";"";"Luigi Bosca";"";"";"0";
"133";"";"M&M";"";"";"0";
"120";"";"Maní Cris";"";"";"0";
"305";"";"MAR DEL SUR";"";"";"0";
"163";"";"MARIE BRIZARD";"";"";"0";
"119";"";"Marlboro";"";"";"0";
"111";"";"Marqués de Murrieta ";"";"";"0";
"67";"";"Marqués de Riscal";"";"";"0";
"266";"";"MARQUIS DE LA TOUR";"";"";"0";
"371";"";"MARTIN MILLERS";"";"";"0";
"365";"";"MARTINI";"";"";"0";
"361";"";"MATEUS";"";"";"0";
