ID;Imagen;Nombre;Referencia;Categor�_a;Precio base;Precio final;Cantidad;Estado
2257;http://www.lataberna.com.ec/img/p/0.jpg;GRAN VANDUSH 750 + SPLASH NARANJA 500;10062525;Champa̱a & Espumantes;5.4;6.05;0;1
2190;http://www.lataberna.com.ec/img/p/0.jpg;HALLS CREAMY RED FRUITS 28,8GR;10062310;Snacks;0.45;0.5;0;0
3099;http://www.lataberna.com.ec/img/p/0.jpg;GIN W 750ML + PUNCH TONICA 2000ML;50000164;Gin;11.93;13.36;34;0
3035;http://www.lataberna.com.ec/img/p/0.jpg;ESPUMANTE CONDE CRUZ ROSE 750ML;10068138;Champa̱a & Espumantes;6.51;7.29;1;1
3334;http://www.lataberna.com.ec/img/p/0.jpg;3CJS + 1CJ GRATIS CERVEZA SOL 355ML;50000358;;106.811885;119.63;0;0
